question,main_answer,sub_answer,level,examples,part_of_speech,kanji_string,meaning_string,reading_string,meaning_mnemonic
九つ,Nine Things,ここのつ,1,"このエリアに九つの山がある。 
 There are nine mountains in this area. 

 ドーナツを九つもらった。 
 I got nine donuts. 

 三人しかいないのに、大きいベッドを九つもオーダーしてしまった。 
 There are only three of us, but I accidentally ordered nine large beds.",numeral,九,Nine,"く, きゅう, ここの","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for nine plus つ. So, this one is nine things."
Nine Things,ここのつ,九つ,1,"このエリアに九つの山がある。 
 There are nine mountains in this area. 

 ドーナツを九つもらった。 
 I got nine donuts. 

 三人しかいないのに、大きいベッドを九つもオーダーしてしまった。 
 There are only three of us, but I accidentally ordered nine large beds.",numeral,九,Nine,"く, きゅう, ここの","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for nine plus つ. So, this one is nine things."
二,Two,に,1,"エントリーナンバーは二です。 
 The entry number is two. 

 二ゲームとも、アメリカにポイントが入った。 
 The United States got points in both games. 

 どうしよう。トイレットペーパーが二メートルしかないよ。 
 Oh, my. We only have two meters of toilet paper left.",numeral,二,Two,"に, ふた",When a vocab word is a single kanji without okurigana (hiragana attached to the kanji) it usually has the same meaning as the kanji it's spawned from. If you know the kanji meaning you'll also know the vocab meaning. It's two!
Two,に,二,1,"エントリーナンバーは二です。 
 The entry number is two. 

 二ゲームとも、アメリカにポイントが入った。 
 The United States got points in both games. 

 どうしよう。トイレットペーパーが二メートルしかないよ。 
 Oh, my. We only have two meters of toilet paper left.",numeral,二,Two,"に, ふた",When a vocab word is a single kanji without okurigana (hiragana attached to the kanji) it usually has the same meaning as the kanji it's spawned from. If you know the kanji meaning you'll also know the vocab meaning. It's two!
二つ,Two Things,ふたつ,1,"ビルが二つあります。 
 There are two buildings. 

 メロンが二つ川に入った。 
 Two melons went into the river. 

 二つのラーメンを三人でシェアした。 
 Three of us shared two bowls of ramen.",numeral,二,Two,"に, ふた","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for two plus つ. So, this one is two things."
Two Things,ふたつ,二つ,1,"ビルが二つあります。 
 There are two buildings. 

 メロンが二つ川に入った。 
 Two melons went into the river. 

 二つのラーメンを三人でシェアした。 
 Three of us shared two bowls of ramen.",numeral,二,Two,"に, ふた","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for two plus つ. So, this one is two things."
人,Person,ひと,1,"この人がコウイチです。 
 This person is Koichi. 

 あの人はクリーニングの人ですか？ 
 Is that person a cleaning person? 

 ふじ山の上には、たくさん人がいましたよ。 
 There were many people on Mt. Fuji.",noun,人,Person,"にん, じん, ひと, と","When a vocab is a single kanji all alone, it usually has the same meaning as its kanji parent. That goes for this vocab word as well. Person is person."
Person,ひと,人,1,"この人がコウイチです。 
 This person is Koichi. 

 あの人はクリーニングの人ですか？ 
 Is that person a cleaning person? 

 ふじ山の上には、たくさん人がいましたよ。 
 There were many people on Mt. Fuji.",noun,人,Person,"にん, じん, ひと, と","When a vocab is a single kanji all alone, it usually has the same meaning as its kanji parent. That goes for this vocab word as well. Person is person."
二人,"Two People, Pair, Couple, Two Persons",ふたり,1,"このアパートは二人には大きい。 
 This apartment is too big for two people. 

 あの二人はバドミントンのダブルスのパートナーです。 
 Those two people are badminton doubles partners. 

 せっかく二人のためにオーダーしたケーキなのに、なんで一人でたべちゃったの？ 
 Why did you eat it alone when I ordered a cake for the two of us?",noun,二|人,Two|Person,"に, ふた|にん, じん, ひと, と","When you have two and person and then put them together, what do you get? You get a pair or two people."
"Two People, Pair, Couple, Two Persons",ふたり,二人,1,"このアパートは二人には大きい。 
 This apartment is too big for two people. 

 あの二人はバドミントンのダブルスのパートナーです。 
 Those two people are badminton doubles partners. 

 せっかく二人のためにオーダーしたケーキなのに、なんで一人でたべちゃったの？ 
 Why did you eat it alone when I ordered a cake for the two of us?",noun,二|人,Two|Person,"に, ふた|にん, じん, ひと, と","When you have two and person and then put them together, what do you get? You get a pair or two people."
一人,"Alone, One Person",ひとり,1,"一人でカラオケにいきました。 
 I went to karaoke alone. 

 一人なので、カウンターでもいいですよ。 
 I'm by myself, so I'm fine with a counter seat. 

 はじめて一人でドライブにいった。 
 For the first time, I went for a drive alone.",noun,一|人,One|Person,"いち, いつ, ひと, かず|にん, じん, ひと, と","When there's one person, what are they? Well, they're either just going to be simply one person or alone."
"Alone, One Person",ひとり,一人,1,"一人でカラオケにいきました。 
 I went to karaoke alone. 

 一人なので、カウンターでもいいですよ。 
 I'm by myself, so I'm fine with a counter seat. 

 はじめて一人でドライブにいった。 
 For the first time, I went for a drive alone.",noun,一|人,One|Person,"いち, いつ, ひと, かず|にん, じん, ひと, と","When there's one person, what are they? Well, they're either just going to be simply one person or alone."
入る,"To Enter, To Go In",はいる,1,"ジェニーはもうすぐインターナショナルスクールに入る。 
 Jenny will go to an international school soon. 

 マイケルは一人でカラオケに入った。 
 Michael went into karaoke alone. 

 スキーのクラブに入ったんです。 
 I joined the ski club.","intransitive verb, godan verb",入,Enter,"にゅう, はい, い","This vocab word has okurigana, which is the hiragana part that comes after the kanji. When a vocab's okurigana makes an ""う/oo"" sound (in this case, we have a る), it's often going to be a verb. So in this case, the kanji 入 is enter. The vocab 入る is to enter. We're just taking the kanji and using it in a verb! "
"To Enter, To Go In",はいる,入る,1,"ジェニーはもうすぐインターナショナルスクールに入る。 
 Jenny will go to an international school soon. 

 マイケルは一人でカラオケに入った。 
 Michael went into karaoke alone. 

 スキーのクラブに入ったんです。 
 I joined the ski club.","intransitive verb, godan verb",入,Enter,"にゅう, はい, い","This vocab word has okurigana, which is the hiragana part that comes after the kanji. When a vocab's okurigana makes an ""う/oo"" sound (in this case, we have a る), it's often going to be a verb. So in this case, the kanji 入 is enter. The vocab 入る is to enter. We're just taking the kanji and using it in a verb! "
八,Eight,はち,1,"これは八ページのエッセイです。 
 This is an eight-page essay. 

 トイレットペーパーが八ロールしかない。 
 There are only eight rolls of toilet paper. 

 パパは八トントラックのドライバーなんです。 
 Dad is an eight-ton truck driver.",numeral,八,Eight,"はち, や, よう",When a vocab is a single kanji it usually steals its meaning from its kanji as well. Same goes for this vocab word. It means eight.
Eight,はち,八,1,"これは八ページのエッセイです。 
 This is an eight-page essay. 

 トイレットペーパーが八ロールしかない。 
 There are only eight rolls of toilet paper. 

 パパは八トントラックのドライバーなんです。 
 Dad is an eight-ton truck driver.",numeral,八,Eight,"はち, や, よう",When a vocab is a single kanji it usually steals its meaning from its kanji as well. Same goes for this vocab word. It means eight.
八つ,Eight Things,やっつ,1,"このカレーにはじゃがいもが八つ入っています。 
 This curry has eight potatoes in it. 

 キットカットが八つ、口に入ってます。 
 There are eight KitKats in my mouth. 

 うちのおばあちゃんはインスタグラムだけで八つもアカウントをもってるんだ。 
 My grandma has eight accounts on Instagram alone.",numeral,八,Eight,"はち, や, よう","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for eight plus つ. So, this one is eight things."
Eight Things,やっつ,八つ,1,"このカレーにはじゃがいもが八つ入っています。 
 This curry has eight potatoes in it. 

 キットカットが八つ、口に入ってます。 
 There are eight KitKats in my mouth. 

 うちのおばあちゃんはインスタグラムだけで八つもアカウントをもってるんだ。 
 My grandma has eight accounts on Instagram alone.",numeral,八,Eight,"はち, や, よう","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for eight plus つ. So, this one is eight things."
力,"Power, Strength, Ability",ちから,1,"力の大きさが、ちがう。 
 The size of the forces is different. 

 うちではママが大きな力をもってるんですよ。 
 At my house, my mom has a lot of power. 

 リラックスしたいのに、どうしても力が入ってしまう。 
 I want to relax, but I somehow get tense.",noun,力,"Power, Strength, Ability","りょく, りき, ちから","When a vocab word is made up of a single kanji and that's it, it almost always takes the meaning from its parent kanji. So, this vocab word also means power."
"Power, Strength, Ability",ちから,力,1,"力の大きさが、ちがう。 
 The size of the forces is different. 

 うちではママが大きな力をもってるんですよ。 
 At my house, my mom has a lot of power. 

 リラックスしたいのに、どうしても力が入ってしまう。 
 I want to relax, but I somehow get tense.",noun,力,"Power, Strength, Ability","りょく, りき, ちから","When a vocab word is made up of a single kanji and that's it, it almost always takes the meaning from its parent kanji. So, this vocab word also means power."
十,Ten,じゅう,1,"バターを十グラム下さい。 
 Ten grams of butter, please. 

 十までカウントするよ。一、二、三... 
 I'll count to ten. One, two, three... 

 川で、たこを十メートルまで上げた。 
 At the river, I flew a kite up to ten meters high.",numeral,十,Ten,"じゅう, とお",When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it tends to steal its meaning from the kanji it came from. That means this vocab word also means ten.
Ten,じゅう,十,1,"バターを十グラム下さい。 
 Ten grams of butter, please. 

 十までカウントするよ。一、二、三... 
 I'll count to ten. One, two, three... 

 川で、たこを十メートルまで上げた。 
 At the river, I flew a kite up to ten meters high.",numeral,十,Ten,"じゅう, とお",When a vocab is alone like this with no okurigana (hiragana attached to the kanji) it tends to steal its meaning from the kanji it came from. That means this vocab word also means ten.
三,Three,さん,1,"三ドルです。 
 It's three dollars. 

 はじめの三レッスンまではトライアルです。 
 Up to the first three lessons is a trial. 

 このキッチンには三タイプあります。 
 There are three types of this kitchen model.",numeral,三,Three,"さん, み","When a vocab is a single kanji and alone like this, it usually steals its meaning from the parent kanji. That goes for this word too, making the meaning of this word three."
Three,さん,三,1,"三ドルです。 
 It's three dollars. 

 はじめの三レッスンまではトライアルです。 
 Up to the first three lessons is a trial. 

 このキッチンには三タイプあります。 
 There are three types of this kitchen model.",numeral,三,Three,"さん, み","When a vocab is a single kanji and alone like this, it usually steals its meaning from the parent kanji. That goes for this word too, making the meaning of this word three."
三つ,Three Things,みっつ,1,"このスーツケースにはメロンが三つ入る。 
 This suitcase can fit three melons. 

 ここにボールを三つ入るよ。 
 You can fit three balls in here. 

 チーズバーガーを三つオーダーしたけど、一人で三つたべます。 
 I ordered three cheeseburgers, and I will eat all three of them by myself.",numeral,三,Three,"さん, み","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for three plus つ. So, this one is three things."
Three Things,みっつ,三つ,1,"このスーツケースにはメロンが三つ入る。 
 This suitcase can fit three melons. 

 ここにボールを三つ入るよ。 
 You can fit three balls in here. 

 チーズバーガーを三つオーダーしたけど、一人で三つたべます。 
 I ordered three cheeseburgers, and I will eat all three of them by myself.",numeral,三,Three,"さん, み","This word follows the ""number of things"" pattern where there's a kanji for a number plus つ on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for three plus つ. So, this one is three things."
三人,"Three People, Three Persons",さんにん,1,"三人のルームメイトがいます。 
 I have three roommates. 

 三人のテーブルありますか？ 
 Is there a table for three? 

 ニコラス・ケイジ、キアヌ・リーブス、トム・クルーズ。この三人で、だれがタイプ？ 
 Nicholas Cage, Keanu Reeves, and Tom Cruise. Out of these three, who's your type?",noun,三|人,Three|Person,"さん, み|にん, じん, ひと, と",You have the kanji for three and person. Common sense will tell you what this word is. It's three people.
"Three People, Three Persons",さんにん,三人,1,"三人のルームメイトがいます。 
 I have three roommates. 

 三人のテーブルありますか？ 
 Is there a table for three? 

 ニコラス・ケイジ、キアヌ・リーブス、トム・クルーズ。この三人で、だれがタイプ？ 
 Nicholas Cage, Keanu Reeves, and Tom Cruise. Out of these three, who's your type?",noun,三|人,Three|Person,"さん, み|にん, じん, ひと, と",You have the kanji for three and person. Common sense will tell you what this word is. It's three people.
上,"Above, Up, Over",うえ,1,"山の上でヨガをしたいね。 
 I want to do yoga on top of a mountain. 

 上のフロアにキッチンがあります。 
 There is a kitchen on the floor above. 

 リビングルームの上にロフトがあります。 
 There is a loft above the living room.","noun, suffix",上,"Above, Up, Over","じょう, うえ, あ, のぼ, うわ, かみ","When a vocab word is a single kanji and alone, it tends to steal the meaning from the kanji. Same goes for this one too. It means above or up."
"Above, Up, Over",うえ,上,1,"山の上でヨガをしたいね。 
 I want to do yoga on top of a mountain. 

 上のフロアにキッチンがあります。 
 There is a kitchen on the floor above. 

 リビングルームの上にロフトがあります。 
 There is a loft above the living room.","noun, suffix",上,"Above, Up, Over","じょう, うえ, あ, のぼ, うわ, かみ","When a vocab word is a single kanji and alone, it tends to steal the meaning from the kanji. Same goes for this one too. It means above or up."
上げる,"To Lift Something, To Raise Something, To Increase Something",あげる,1,"大きいブランケットをロフトに上げる。 
 I lift a large blanket up to the loft. 

 「スピーカーのボリューム、上げる？」「うん。」 
 ""Should I turn up the volume on the speaker?"" ""Yeah."" 

 ピカチュウのレベルを上げるには、どうしたらいいですか？ 
 What can I do to raise Pikachu's level?","transitive verb, ichidan verb",上,"Above, Up, Over","じょう, うえ, あ, のぼ, うわ, かみ","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means above and this verb is related to that meaning. It means to lift something or to raise something. It's a transitive verb, meaning that you do something to something else. You raise something. Like your hands!"
"To Lift Something, To Raise Something, To Increase Something",あげる,上げる,1,"大きいブランケットをロフトに上げる。 
 I lift a large blanket up to the loft. 

 「スピーカーのボリューム、上げる？」「うん。」 
 ""Should I turn up the volume on the speaker?"" ""Yeah."" 

 ピカチュウのレベルを上げるには、どうしたらいいですか？ 
 What can I do to raise Pikachu's level?","transitive verb, ichidan verb",上,"Above, Up, Over","じょう, うえ, あ, のぼ, うわ, かみ","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means above and this verb is related to that meaning. It means to lift something or to raise something. It's a transitive verb, meaning that you do something to something else. You raise something. Like your hands!"
下,"Below, Under, Beneath, Down",した,1,"あ、テーブルの下にハムスターがいる！ 
 Oh, there's a hamster under the table! 

 下のフロアに、きてください。 
 Please come downstairs. 

 山の下に大きいレストランがあるよ。 
 There's a large restaurant down the mountain.",noun,下,"Below, Down, Under, Beneath","か, げ, した, さ, くだ, お, しも, もと","When a vocab is a single kanji with no okurigana (that's hiragana attached to the kanji) it tends to steal the meaning of the kanji it comes from. So, this one is below or under."
"Below, Under, Beneath, Down",した,下,1,"あ、テーブルの下にハムスターがいる！ 
 Oh, there's a hamster under the table! 

 下のフロアに、きてください。 
 Please come downstairs. 

 山の下に大きいレストランがあるよ。 
 There's a large restaurant down the mountain.",noun,下,"Below, Down, Under, Beneath","か, げ, した, さ, くだ, お, しも, もと","When a vocab is a single kanji with no okurigana (that's hiragana attached to the kanji) it tends to steal the meaning of the kanji it comes from. So, this one is below or under."
下げる,"To Lower Something, To Hang Something",さげる,1,"力いっぱいレバーを下げて！ 
 Lower the lever as hard as you can! 

 一つレベルを下げよう。 
 Let's lower it one level. 

 あっ、このロープ、ベーコンを下げるのにちょうどいい。 
 Oh, this rope is perfect for hanging bacon.","transitive verb, ichidan verb",下,"Below, Down, Under, Beneath","か, げ, した, さ, くだ, お, しも, もと","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means below so the verb version of that is when you put something below you. It's to lower something. It can also mean to hang something, such as a lamp from the ceiling.

This is a transitive verb, which means that the verb is done by one entity onto another. In other words, you lower <i>something</i>. Like your impossibly high expectations for yourself. Take it easy!"
"To Lower Something, To Hang Something",さげる,下げる,1,"力いっぱいレバーを下げて！ 
 Lower the lever as hard as you can! 

 一つレベルを下げよう。 
 Let's lower it one level. 

 あっ、このロープ、ベーコンを下げるのにちょうどいい。 
 Oh, this rope is perfect for hanging bacon.","transitive verb, ichidan verb",下,"Below, Down, Under, Beneath","か, げ, した, さ, くだ, お, しも, もと","This word consists of kanji with hiragana attached. Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means below so the verb version of that is when you put something below you. It's to lower something. It can also mean to hang something, such as a lamp from the ceiling.

This is a transitive verb, which means that the verb is done by one entity onto another. In other words, you lower <i>something</i>. Like your impossibly high expectations for yourself. Take it easy!"
下さい,"Please Give Me, Please",ください,1,"みそラーメン下さい。 
 A miso ramen, please. 

 りんごを七つ下さい。 
 May I have seven apples? 

 どうか、力を下さい。 
 Please, give me some help.",expression,下,"Below, Down, Under, Beneath","か, げ, した, さ, くだ, お, しも, もと","You know that the kanji 下 means down, and さい sounds like the word ""sigh."" You need to ask someone for something, so you look down, sigh, and say please give me that thing. You're ashamed that you have to ask. But you still need it. Please, please give it to me!

You only use this kanji version of ください when asking for something, which is why this is ""please give me."" If you're just saying ""please,"" you don't need the kanji at all!"
"Please Give Me, Please",ください,下さい,1,"みそラーメン下さい。 
 A miso ramen, please. 

 りんごを七つ下さい。 
 May I have seven apples? 

 どうか、力を下さい。 
 Please, give me some help.",expression,下,"Below, Down, Under, Beneath","か, げ, した, さ, くだ, お, しも, もと","You know that the kanji 下 means down, and さい sounds like the word ""sigh."" You need to ask someone for something, so you look down, sigh, and say please give me that thing. You're ashamed that you have to ask. But you still need it. Please, please give it to me!

You only use this kanji version of ください when asking for something, which is why this is ""please give me."" If you're just saying ""please,"" you don't need the kanji at all!"
口,Mouth,くち,1,"口にソースがついていますよ。 
 There is some sauce on your mouth. 

 これを口に入れてください。 
 Please put this in your mouth. 

 このペットボトルは口が大きすぎる。 
 The mouth of this plastic bottle is too large. 

 ちゃんと口のケアをしないと、女にモテないだろ。 
 If you don't take good care of your mouth, you won't have much luck with women.",noun,口,Mouth,"こう, く, くち","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to have the same meaning as the kanji it came from. From that, you know this word's meaning is mouth."
Mouth,くち,口,1,"口にソースがついていますよ。 
 There is some sauce on your mouth. 

 これを口に入れてください。 
 Please put this in your mouth. 

 このペットボトルは口が大きすぎる。 
 The mouth of this plastic bottle is too large. 

 ちゃんと口のケアをしないと、女にモテないだろ。 
 If you don't take good care of your mouth, you won't have much luck with women.",noun,口,Mouth,"こう, く, くち","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to have the same meaning as the kanji it came from. From that, you know this word's meaning is mouth."
入り口,Entrance,いりぐち,1,"入り口は、どこ？ 
 Where is the entrance? 

 入り口が三つあります。 
 There are three entrances. 

 まず、あなたのアパートの入り口のドアの大きさをおしえて。 
 First, tell me the size of the entryway door of your apartment.",noun,入|口,Enter|Mouth,"にゅう, はい, い|こう, く, くち",A mouth that you enter is an entrance.
Entrance,いりぐち,入り口,1,"入り口は、どこ？ 
 Where is the entrance? 

 入り口が三つあります。 
 There are three entrances. 

 まず、あなたのアパートの入り口のドアの大きさをおしえて。 
 First, tell me the size of the entryway door of your apartment.",noun,入|口,Enter|Mouth,"にゅう, はい, い|こう, く, くち",A mouth that you enter is an entrance.
大きい,"Big, Large",おおきい,1,"大きいメロンを下さい。 
 A large melon, please. 

 このサンダルは大きすぎる。 
 These sandals are too big. 

 これよりも大きいサイズありますか？ 
 Does this come in a larger size?",い adjective,大,"Big, Large","たい, だい, おお, ひろ","This is the adjective form of big. It has the same meaning, though it is a word for describing. Words that end with い are often adjectives, remember that for future words as well. So, as long as you know the meaning of this kanji, you can transfer that to the meaning of this word. It's the adjective big, or large."
"Big, Large",おおきい,大きい,1,"大きいメロンを下さい。 
 A large melon, please. 

 このサンダルは大きすぎる。 
 These sandals are too big. 

 これよりも大きいサイズありますか？ 
 Does this come in a larger size?",い adjective,大,"Big, Large","たい, だい, おお, ひろ","This is the adjective form of big. It has the same meaning, though it is a word for describing. Words that end with い are often adjectives, remember that for future words as well. So, as long as you know the meaning of this kanji, you can transfer that to the meaning of this word. It's the adjective big, or large."
大きさ,Size,おおきさ,1,"このサンダルの大きさは、28センチです。 
 These sandals are size 28 cm. 

 アメリカでビックリしたこと？それはドリンクの大きさですよ。 
 What surprised me about the United States? The size of the drinks. 

 このチェストフリーザーは二人くらい入る大きさですよ。 
 This chest freezer is big enough for two people or so.",noun,大,"Big, Large","たい, だい, おお, ひろ","In Japanese, さ on the end of a word is often the equivalent of ""-ness"" in English. In other words, if you replace the い on the end of an い-adjective with さ, you have a noun. In this case, the adjective is 大きい (big) and the noun 大きさ means ""bigness"", aka size."
Size,おおきさ,大きさ,1,"このサンダルの大きさは、28センチです。 
 These sandals are size 28 cm. 

 アメリカでビックリしたこと？それはドリンクの大きさですよ。 
 What surprised me about the United States? The size of the drinks. 

 このチェストフリーザーは二人くらい入る大きさですよ。 
 This chest freezer is big enough for two people or so.",noun,大,"Big, Large","たい, だい, おお, ひろ","In Japanese, さ on the end of a word is often the equivalent of ""-ness"" in English. In other words, if you replace the い on the end of an い-adjective with さ, you have a noun. In this case, the adjective is 大きい (big) and the noun 大きさ means ""bigness"", aka size."
大した,"Great, Considerable, Important, Big Deal",たいした,1,"大したことじゃないよ。 
 It's no big deal. 

 えっ！？コウイチが、メジャーリーグに入る？ それは、大したものだ！ 
 What!? Koichi's entering the major league? That's a big deal! 

 このオレをふるなんて、大した女だったよ。 
 She had considerable nerve, dumping me.",adjective,大,"Big, Large","たい, だい, おお, ひろ","した is the past tense form of する (which means ""to do""). So, essentially this word is ""did big."" What is something that ""did big""? It's something that's great or considerable."
"Great, Considerable, Important, Big Deal",たいした,大した,1,"大したことじゃないよ。 
 It's no big deal. 

 えっ！？コウイチが、メジャーリーグに入る？ それは、大したものだ！ 
 What!? Koichi's entering the major league? That's a big deal! 

 このオレをふるなんて、大した女だったよ。 
 She had considerable nerve, dumping me.",adjective,大,"Big, Large","たい, だい, おお, ひろ","した is the past tense form of する (which means ""to do""). So, essentially this word is ""did big."" What is something that ""did big""? It's something that's great or considerable."
大人,"Adult, Mature",おとな,1,"大人のチケット下さい。 
 A ticket for an adult, please. 

 PG-18は大人のためのコンテンツです。 
 PG-18 is content for adults. 

 わたしは「大人の女」をテーマにしたファッションマガジンのモデルです。 
 I am a model for a fashion magazine that caters to ""mature women."" ","noun, な adjective, の adjective",大|人,"Big, Large|Person","たい, だい, おお, ひろ|にん, じん, ひと, と","This word combines big and person. If you're a child, how do you think of adults? You just think of them like big people. That's why this combination of kanji means adult, and when used like an adjective, it means mature."
"Adult, Mature",おとな,大人,1,"大人のチケット下さい。 
 A ticket for an adult, please. 

 PG-18は大人のためのコンテンツです。 
 PG-18 is content for adults. 

 わたしは「大人の女」をテーマにしたファッションマガジンのモデルです。 
 I am a model for a fashion magazine that caters to ""mature women."" ","noun, な adjective, の adjective",大|人,"Big, Large|Person","たい, だい, おお, ひろ|にん, じん, ひと, と","This word combines big and person. If you're a child, how do you think of adults? You just think of them like big people. That's why this combination of kanji means adult, and when used like an adjective, it means mature."
